estimator,estimation_measure,date,estimation,source_read_by_estimator,risk_category,other_notes,century_probability,conversion_reasoning,conversion_confidence
Toby Ord,“Total existential risk” by 2120,2020,~17% (~1 in 6),Yes,total,"Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""

This estimate already incorporates Ord's expectation that people will start taking these risks more seriously in future. For his ""business as usual"" estimate, see the conditional estimates sheet.",0.17,"Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""",high
GCR Conference,“Overall risk of extinction prior to 2100”,2008,0.19,Yes,total,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.,0.19,Medium,High
Will MacAskill,Existential risk in the 21st century,2019/2020,0.01,Yes,total,,0.01,Existential risk in the 21st century,high
"Ben Todd or 80,000 Hours",Extinction risk “in the next century”,2017,Probably at or above 3%,Yes,total,,0.003,Extinction risk “in the next century”,high
John Leslie,Risk of extinction over the next five centuries,1996,At or above 30%,No,total,"""The probability of the human race avoiding extinction for the next five centuries is encouragingly high, perhaps as high as 70 percent”",,Error in processing: Invalid control character at: line 3 column 163 (char 204),low
Martin Rees,Odds that our present civilization on earth will survive to the end of the present century,2003,"≤50% (""no better than fifty-fifty"")",No,total,,0.5,Odds that our present civilization on earth will survive to the end of the present century,high
Metaculus responders,"""there be zero living humans on planet earth on January 1, 2100""",,Median: 1%. Mean: 8%.,No,total,That median and mean is as of 3rd July 2019.,,Error in processing: No JSON object found in response,low
Nick Bostrom,“existential disaster will do us in”,2002,Probably at or above 25%,No,total,,0.25,Nick Bostrom said it was probably at or above 25%,high
Gott III,"The prior probability that ""humanity will cease to exist before 5,100 years or thrive beyond 7.8 million years"" (quote from Beard et al.'s appendix)",1993,5%.,No,total,,,Error in processing: No JSON object found in response,low
Wells,Annual probability as of 2009 of extinction,2009,0.3-0.4%,No,total,,,Error in processing: No JSON object found in response,low
Simpson,“Humanity’s prognosis for the coming century is well approximated by a global catastrophic risk of 0.2% per year.”,2016,0.002,No,total,"Beard et al. seem to imply this is about extinction, but the quote suggests it's about ""global catastrophic risk"".",0.002,Simpson's estimate,high
Toby Ord,“Humanity avoids every existential catastrophe and eventually fulfils its potential: achieving something close to the best future open to us”,2020,50% (~1 in 2),Yes,total,,0.5,The estimate is 50% (~1 in 2).,high
Frank Tipler,"""Personally, I now think we humans will be wiped out this century""",2019?,,No,total,,,Error in processing: No JSON object found in response,low
Ozzie Gooen,"""sentient life will survive for at least billions of years""",2020,>20%,Yes,total,"""I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great.""",0.2,"I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great.",high
"I will not report the number from Stern Review: The economics of climate change, as it was not actually meant as an estimate.",,,,,total,,,Error in processing: No JSON object found in response,low
,,,,,total,,,Error in processing: No JSON object found in response,low
